PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Projeto Heimer ? 2006/07 ? CESAR/Leon Heimer -  Sistema de ignição eletrônica inteligente,,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
ATA - Arquitetura de Telemetria Aberta,2005,2007,PESQUISA,"['Henrique Braga Foresti', 'Daniel Thiago Vasconcelos Pereira', 'Paulo Gustavo Araujo Urbano', 'Fernando Carvalho']","['SIM', 'NAO', 'NAO', 'NAO']"
Projeto Finep_STRAIL ? 2005/06 ? CESAR/Troller ? Pista de testes automatizada,2006,2007,PESQUISA,"['Henrique Braga Foresti', 'Daniel Thiago Vasconcelos Pereira', 'Paulo Gustavo Araujo Urbano', 'Fernando Carvalho', 'Diogenes Vila Nova Pereira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
I-zak,2014,2014,PESQUISA,['Henrique Braga Foresti'],['SIM']
Aeronave não Tripulada para Inspeção de Linhas de Transmissão de Energia Elétrica,2011,ATUAL,PESQUISA,"['Henrique Braga Foresti', 'Daniel Thiago Vasconcelos Pereira', 'Paulo Gustavo Araujo Urbano', 'Diogenes Vila Nova Pereira', 'Thiago Fernando Cardoso da Silva', 'Geraldo José Adabo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Projeto MartIP ? 2008 ? OI TNL ? Monitoração Pró-Ativa, Teste por Demanda e Diagnóstico automático em rede de dados ADSL",,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
Projeto SDP ? 2007/09 ? OI TNL - Desenvolvimento da Plataforma de Serviços de Valor Agregado baseado na arquitetura SOA,,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
"Projeto VP ? 2008/09 ? OI TNL ? Identificação, autenticação de usuários na rede ADSL",,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
ROBUCA: Inserção da robótica educativa no UCA,2011,ATUAL,PESQUISA,"['Henrique Braga Foresti', 'Marta Fernanda de Araujo Bibiano', 'Rogério da Silva Ignácio', 'Alexandre Andrade Cavalcanti de Almeida', 'Erick Alexandro Vilela da Silva', 'Rodrigo Pessoa Medeiros', 'Patricia Smith Cavalcante', 'Fábio Aguiar', 'Ricardo Mariz', 'José Pinheiro Neto', 'Victor Uchoa Cavalcante de Lima', 'Manuella Valença Correia', 'Lucas Sampaio Sá', 'Leonardo Petty Santana Barbosa', 'Rodrigo Alberto Muniz da Silva']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Projeto VANT ? 2006 UFPE ? Veículo Aéreo Não Tripulado,2005,2006,PESQUISA,['Henrique Braga Foresti'],['SIM']
Projeto MNERIN? 2005/06 UFPE ? Robô Bípede Autônomo e Inteligente ? Plataforma Robótica Aberta,,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
Projeto Murph ? 2004 UFPE - Sistema operacional para controle de dispositivos robóticos em cooperação de tarefas,,ATUAL,OUTRA,['Henrique Braga Foresti'],['SIM']
Plataforma Robótica,2012,2013,PESQUISA,"['Henrique Braga Foresti', 'Rodrigo Pessoa Medeiros']","['SIM', 'NAO']"
