TITULO,ANO,ENTIDADE_PROMOTORA
Mensão Honrosa - 3ª Olimpíada Alagoana de Matemática,2005,Universidade Federal de Alagoas
1 Lugar no Concurso para Professor Assistente da UPE - Campus Garanhuns,2012,UPE
1 Lugar no Concurso para Professor Assistente da UFRPE - Campus Dois Irmãos,2013,Universidade Federal Rural de Pernambuco
Professor Homenageado Curso de BCC 2015.2,2015,Universidade Federal Rural de Pernambuco
1 Lugar no Concurso de TCC,2016,Congresso Brasileiro de Informática da Educação
Professor Homenageado Curso de BCC 2016.1,2016,Universidade Federal Rural de Pernambuco
Professor Homenageado Curso de BCC 2016.2,2016,Universidade Federal Rural de Pernambuco
Menção honrosa na Trilha de &amp;quot;Ambientes Computacionais para Apoio à Cooperação/Colaboração em processos de ensino/aprendizagem&amp;quot;,2017,Simpósio Brasileiro De Informática Na Educação
Professor Homenageado Curso de BCC 2017.1,2017,Universidade Federal Rural de Pernambuco
Patrono da Turma 2017.1 do curso de BCC,2017,UFRPE
Visitor grant award to visit the University of Edinburgh,2019,CAPES
The UK Academies fund to support research visit,2019,Newton fund
Menção Honrosa na classificação de melhores artigos de estudantes de graduação do 16o Encontro Nacional de Inteligência Artificial e Computacional,2020,Encontro Nacional de Inteligência Artificial e Computacional
Participação no BRAGFOST,2020,Capes e Humboldt Foundation
Melhor trabalho de PIBIC,2021,Universidade Federal Rural de Pernambuco
Premiação App.Edu - Melhor protótipo educacional,2021,Congresso Brasileiro de Informática na Educação
Participação no BRAGFOST,2022,Capes e Humboldt Foundation
